vote_party,age,sex,province,education,religion_importance,place_birth_canada,income_family,vote_liberal,vote_conservatives,vote_NDP,vote_bloc_québécois,vote_green,vote_people
Bloc Québécois,older than 70 years old,Male,Quebec,Not attended university,Not important religion,Born in Canada,"$25,000 to $49,999",0,0,0,1,0,0
Green Party,younger than 30 years old,Male,Quebec,Attended university,Not important religion,Born in Canada,"$100,000 to $ 124,999",0,0,0,0,1,0
Conservatives,50 - 70 years old,Male,Quebec,Not attended university,Important religion,Born in Canada,"$25,000 to $49,999",0,1,0,0,0,0
Liberal,30 - 50 years old,Male,Quebec,Attended university,Important religion,Born outside Canada,"$100,000 to $ 124,999",1,0,0,0,0,0
NDP,30 - 50 years old,Female,Quebec,Attended university,Not important religion,Born outside Canada,"$100,000 to $ 124,999",0,0,1,0,0,0
NDP,30 - 50 years old,Male,Quebec,Attended university,Not important religion,Born in Canada,"$125,000 and more",0,0,1,0,0,0
NDP,30 - 50 years old,Male,Quebec,Attended university,Not important religion,Born in Canada,"$125,000 and more",0,0,1,0,0,0
Liberal,50 - 70 years old,Male,Quebec,Attended university,Not important religion,Born in Canada,"$125,000 and more",1,0,0,0,0,0
Conservatives,30 - 50 years old,Female,Quebec,Not attended university,Important religion,Born in Canada,"$50,000 to $74,999",0,1,0,0,0,0
Liberal,50 - 70 years old,Female,Quebec,Attended university,Important religion,Born in Canada,"$50,000 to $74,999",1,0,0,0,0,0
Green Party,younger than 30 years old,Male,Quebec,Attended university,Not important religion,Born in Canada,"$25,000 to $49,999",0,0,0,0,1,0
Conservatives,30 - 50 years old,Female,Quebec,Attended university,Not important religion,Born outside Canada,"$25,000 to $49,999",0,1,0,0,0,0
Conservatives,30 - 50 years old,Male,Quebec,Attended university,Not important religion,Born in Canada,"$100,000 to $ 124,999",0,1,0,0,0,0
Conservatives,30 - 50 years old,Female,Quebec,Attended university,Not important religion,Born in Canada,"$125,000 and more",0,1,0,0,0,0
Bloc Québécois,50 - 70 years old,Male,Quebec,Attended university,Not important religion,Born in Canada,"$50,000 to $74,999",0,0,0,1,0,0
